,start,end,rf,total_return,cagr,max_drawdown,calmar,mtd,three_month,six_month,ytd,one_year,three_year,five_year,ten_year,incep,daily_sharpe,daily_sortino,daily_mean,daily_vol,daily_skew,daily_kurt,best_day,worst_day,monthly_sharpe,monthly_sortino,monthly_mean,monthly_vol,monthly_skew,monthly_kurt,best_month,worst_month,yearly_sharpe,yearly_sortino,yearly_mean,yearly_vol,yearly_skew,yearly_kurt,best_year,worst_year,avg_drawdown,avg_drawdown_days,avg_up_month,avg_down_month,win_year_perc,twelve_month_win_perc
atvi,2020-01-02,2020-12-31,0.0,0.5935320041392858,0.5960838766948877,-0.19139357021785652,3.114440448633601,0.1682183728715141,0.1470043238320653,0.2233201433311771,0.5935320041392858,,,,,0.5960838766948877,1.3940150301788052,2.3980888800015303,0.5415137588351344,0.3884561838373267,-0.02001205374657851,2.764751559864002,0.0917344455269602,-0.10636868194781923,2.293685903804475,7.699027087804064,0.5471688806068451,0.23855440699150254,0.21691239135866822,-0.33692463749157664,0.1682183728715141,-0.0644841555458241,,,,,,,,,-0.04206336711035936,18.75,0.07535146061837464,-0.033746737019129704,,
adbe,2020-01-02,2020-12-31,0.0,0.49544002054276626,0.4975080553032609,-0.25641828191480764,1.940220687807872,0.045248383056930574,0.019758176673774885,0.14888240086852167,0.49544002054276626,,,,,0.4975080553032609,1.0774432916702394,1.7910486119189433,0.5170888781667667,0.4799221287694705,0.2628668702264871,7.062648124992016,0.17719298245614046,-0.1474515684670734,1.476706446172263,3.668067573109264,0.4297001977949425,0.29098552316119325,-0.19632306637186958,-1.3298851171278772,0.15545104020899658,-0.08835101282419056,,,,,,,,,-0.03432232939070195,13.772727272727273,0.08885648858090292,-0.057025893021905805,,
amd,2020-01-02,2020-12-31,0.0,0.8678208133307748,0.8718325429787173,-0.34278441287536066,2.5433844429085024,-0.010252585150988924,0.11855106078735833,0.74320467630688,0.8678208133307748,,,,,0.8718325429787173,1.3291200051647687,2.3703501847210062,0.8088479526835318,0.6085590086225964,0.2678125890917366,2.849813779284773,0.1650159792078827,-0.14638954769627766,1.5054074130820132,7.257015059361034,0.8842971284441632,0.5874138261573629,1.4162252999490585,1.9500365851422599,0.47177341583114574,-0.09722530126321838,,,,,,,,,-0.08015637799437306,27.166666666666668,0.21085204083173528,-0.04060908384747667,,
algn,2020-01-02,2020-12-31,0.0,0.883742310630828,0.8878432632517397,-0.5379608889300245,1.6503862669600622,0.11030770511608368,0.632392561078974,0.9471651367475271,0.883742310630828,,,,,0.8878432632517397,1.226330895431501,2.4086784869299,0.8776325262378543,0.715657192938165,1.9212943214497047,16.085861715373635,0.3496620537845849,-0.17439249954351388,1.8368866393489047,3.761028163970607,0.945524016639655,0.5147427154104629,-0.7259704114946538,0.42865956093961355,0.3015640445935519,-0.20334329248529648,,,,,,,,,-0.07715274243484273,22.066666666666666,0.13564368909615854,-0.1770314266395382,,
googl,2020-01-02,2020-12-31,0.0,0.28053302880863895,0.28162087256922663,-0.3087082779133563,0.9122556559635496,-0.001003197526865507,0.19585155829969447,0.23595074524824944,0.28053302880863895,,,,,0.28162087256922663,0.8354419549687385,1.3233010971050256,0.3215061038949649,0.38483356262254675,-0.25999210066538025,4.010854955300079,0.09241146704227998,-0.11634151980939555,0.8391595437104523,1.6061811216521975,0.268491249282779,0.3199525659871665,-0.38603865213426947,-0.8901524733988784,0.15899996365047553,-0.13238756679344788,,,,,,,,,-0.04673069076125399,19.8125,0.09269627311847244,-0.062012132040324096,,
goog,2020-01-02,2020-12-31,0.0,0.2812040714208237,0.2822947922168284,-0.30790138425624014,0.9168350863336764,-0.005031966900679752,0.1920795005350544,0.2392951542763211,0.2812040714208237,,,,,0.2822947922168284,0.8383907412412913,1.3276680815950965,0.3214155858377864,0.3833720603377728,-0.22161162861580197,3.7576281122929727,0.09401650633289482,-0.11100819573363885,0.8301491282322642,1.6083974818110673,0.26746321828309955,0.3221869531473712,-0.34966956372038516,-0.9440353979392109,0.15982831779998197,-0.13179716966901756,,,,,,,,,-0.04201267243485431,17.5,0.09326620183489971,-0.06288451884997807,,
amzn,2020-01-02,2020-12-31,0.0,0.7159708931370734,0.719155810520945,-0.2274469832620879,3.161861283920655,0.028058323595060886,0.03436304536845913,0.18055177609950745,0.7159708931370734,,,,,0.719155810520945,1.5948767674372604,2.8515944914708315,0.6142028447073015,0.38510990770417824,0.09796676185811072,1.2388512337574227,0.0792952391518491,-0.07922080838749879,1.642518684635848,5.588141294715946,0.593704328877362,0.36145971088845674,0.7785698903630262,0.5186088170536616,0.2689001688318371,-0.08757852420479695,,,,,,,,,-0.04918178481014696,17.38888888888889,0.10608003795637343,-0.04958282438925804,,
aep,2020-01-02,2020-12-31,0.0,-0.07987827908741629,-0.08014128922586705,-0.32905200634806286,-0.24355204551190499,-0.019083530969936535,0.027202931668846242,0.06287508782796469,-0.07987827908741629,,,,,-0.08014128922586705,-0.023672027746806386,-0.03697522516550818,-0.009127375010649308,0.3855763903403117,0.11149597719922474,6.869705747770817,0.11682579565154216,-0.11582717316006808,-0.6203685960542491,-0.9981646718511465,-0.17219465809862863,0.27756830244768027,-0.010290491269155442,-1.2950446138780323,0.10033037625767838,-0.13763881254361598,,,,,,,,,-0.07155223910147517,66.2,0.060420510413534204,-0.07665794255412454,,
amgn,2020-01-02,2020-12-31,0.0,-0.015930406759761317,-0.015984673253189197,-0.24065515509797974,-0.06642148698905384,0.0354891975121685,-0.08922802607687308,-0.011988532584521816,-0.015930406759761317,,,,,-0.015984673253189197,0.14727028084323365,0.26904582037735014,0.05652987353243755,0.38385119664851114,0.7709054196240647,3.9313472997883787,0.10897713688380506,-0.08260745091945643,0.4778024745179482,0.8251419861603491,0.1331167119042445,0.27860197257987224,0.08963137692118922,2.304089610018119,0.17999301176969684,-0.14644328129312312,,,,,,,,,-0.08659351543808312,50.0,0.04634239284715663,-0.08290516339945408,,
adi,2020-01-02,2020-12-31,0.0,0.25198161116897655,0.2529481750314806,-0.3361994878638921,0.75237525386679,0.06689717518023364,0.27106425020428304,0.216172446015795,0.25198161116897655,,,,,0.2529481750314806,0.7000090895551891,1.121579286378137,0.3508674128727882,0.5012326527013271,-0.19217522567951087,6.875046560704504,0.1469776599838739,-0.1661489677332867,1.1090448286613277,2.171071412136411,0.41392378631707555,0.37322547801489875,-0.10995802390942196,0.9502934913548176,0.22253193293385665,-0.17790007905547012,,,,,,,,,-0.06299379072506418,28.333333333333332,0.08900454882069951,-0.06090042607189433,,
